,state,county,score
222,Florida,Brevard,0
223,Florida,Broward,0
224,Florida,Calhoun,0
225,Florida,Charlotte,0
226,Florida,Citrus,0
227,Florida,Clay,0
228,Florida,Collier,0
229,Florida,Columbia,0
230,Florida,Dixie,0
231,Florida,Duval,0
232,Florida,Escambia,0
233,Florida,Flagler,0
234,Florida,Franklin,0
235,Florida,Gadsden,0
236,Florida,Gilchrist,0
237,Florida,Glades,0
238,Florida,Gulf,0
239,Florida,Hamilton,0
240,Florida,Hardee,0
241,Florida,Hendry,0
242,Florida,Hernando,0
243,Florida,Highlands,0
244,Florida,Hillsborough,0
245,Florida,Holmes,0
246,Florida,Indian River,0
247,Florida,Jackson,0
248,Florida,Jefferson,0
249,Florida,Lafayette,0
250,Florida,Lake,0
251,Florida,Lee,0
252,Florida,Leon,0
253,Florida,Levy,0
254,Florida,Liberty,0
255,Florida,Madison,0
256,Florida,Manatee,0
257,Florida,Marion,0
258,Florida,Martin,0
259,Florida,Miami-Dade,0
260,Florida,Monroe,0
261,Florida,Nassau,0
262,Florida,Okeechobee,0
263,Florida,Orange,0
264,Florida,Osceola,0
265,Florida,Palm Beach,0
266,Florida,Pasco,0
267,Florida,Pinellas,0
268,Florida,Polk,0
269,Florida,Putnam,0
270,Florida,Santa Rosa,0
271,Florida,Sarasota,0
272,Florida,Seminole,0
273,Florida,Sumter,0
274,Florida,Suwannee,0
275,Florida,Taylor,0
276,Florida,Union,0
277,Florida,Volusia,0
278,Florida,Wakulla,0
279,Florida,Walton,0
280,Florida,Washington,0
281,Georgia,Appling,0
282,Georgia,Atkinson,0
283,Georgia,Bacon,0
284,Georgia,Baker,0
285,Georgia,Baldwin,0
286,Georgia,Banks,0
287,Georgia,Barrow,0
288,Georgia,Bartow,0
289,Georgia,Ben Hill,0
290,Georgia,Berrien,0
291,Georgia,Bibb,0
292,Georgia,Bleckley,0
293,Georgia,Brantley,0
294,Georgia,Brooks,0
295,Georgia,Bryan,0
296,Georgia,Bulloch,0
297,Georgia,Burke,0
298,Georgia,Butts,0
299,Georgia,Calhoun,0
300,Georgia,Camden,0
301,Georgia,Candler,0
302,Georgia,Carroll,0
303,Georgia,Catoosa,0
304,Georgia,Charlton,0
305,Georgia,Chatham,0
306,Georgia,Chattahoochee,0
307,Georgia,Chattooga,0
308,Georgia,Cherokee,0
309,Georgia,Clarke,0
310,Georgia,Clay,0
311,Georgia,Clayton,0
312,Georgia,Clinch,0
313,Georgia,Cobb,0
314,Georgia,Coffee,0
315,Georgia,Colquitt,0
316,Georgia,Columbia,0
317,Georgia,Cook,0
318,Georgia,Coweta,0
319,Georgia,Crawford,0
320,Georgia,Crisp,0
321,Georgia,Dade,0
322,Georgia,Dawson,0
323,Georgia,Decatur,0
324,Georgia,Dodge,0
325,Georgia,Dooly,0
326,Georgia,Dougherty,0
327,Georgia,Douglas,0
328,Georgia,Early,0
