,0,1,2
183,Colorado,Jackson,221.21986804967992
1682,Texas,Matagorda,1033.3454670605174
518,Illinois,Jefferson,-591.1853082891464
1065,Nebraska,Keya Paha,1327.504910562678
458,Idaho,Elmore,773.6339759009857
627,Iowa,Jefferson,753.3144309824597
467,Idaho,Lemhi,-83.69412527976465
1837,Virginia,Charlotte,27.197840435472244
1339,Oklahoma,Harmon,174.83361089234268
193,Colorado,Mesa,3964.5641278477538
1752,Texas,Trinity,-26.509510765356254
1534,Texas,Austin,379.07129287703447
1050,Nebraska,Gosper,-90.38761690114006
1379,Oklahoma,Texas,379.8244456848006
163,Colorado,Cheyenne,285.33651052421556
1104,Nebraska,Webster,3014.2274103958184
1443,Tennessee,Cheatham,275.87970274399686
982,Missouri,Pemiscot,-190.70914266989985
884,Mississippi,Rankin,-550.565450325776
1234,Ohio,Clark,2374.8134045551283
179,Colorado,Grand,-782.2209614494739
1325,Oklahoma,Coal,845.9214235436175
1097,Nebraska,Stanton,1028.4935759171321
871,Mississippi,Monroe,1514.6578552481674
984,Missouri,Pettis,11828.65322447509
1922,New Hampshire,Grafton,-7.726219496622889
1633,Texas,Hidalgo,298.60802065149574
182,Colorado,Huerfano,664.2052432552659
1640,Texas,Hudspeth,382.1462236527336
1431,South Carolina,Williamsburg,2768.3261350984526
1435,Tennessee,Benton,840.1861612687094
892,Mississippi,Tate,241.21804763699356
1358,Oklahoma,McIntosh,254.30238457189944
742,Massachusetts,Norfolk,3852.1697126552667
1745,Texas,Taylor,30.815912627355374
670,Iowa,Winnebago,588.6794467579025
792,Michigan,Luce,2184.128643437554
834,Mississippi,Chickasaw,-39.156326928161434
56,Alabama,Shelby,171.93713152611508
1098,Nebraska,Thayer,905.3366227106853
1113,Nevada,Eureka,-475.2331617339248
1321,Oklahoma,Cherokee,-467.33897160131687
302,Georgia,Carroll,-225.8390641959836
1422,South Carolina,Newberry,26215.740579736383
731,Maine,Lincoln,2675.038562972996
1168,North Carolina,Hertford,637.8492586863204
1799,Utah,Sevier,-151.02836769268038
911,Missouri,Barton,-43.53967872583212
1429,South Carolina,Sumter,2303.4297004828263
1908,Virginia,Surry,455.04102130659703
750,Michigan,Arenac,1162.9375689245367
1708,Texas,Parker,2213.5291176628766
819,Michigan,Schoolcraft,139.31616270734003
